vdjbase_name,airr_file,airr_repertoire_id
P1_I100_S1,P1_PRJEB26509.json,100
P1_I10_S1,P1_PRJEB26509.json,10
P1_I11_S1,P1_PRJEB26509.json,11
P1_I12_S1,P1_PRJEB26509.json,12
P1_I13_S1,P1_PRJEB26509.json,13
P1_I14_S1,P1_PRJEB26509.json,14
P1_I15_S1,P1_PRJEB26509.json,15
P1_I16_S1,P1_PRJEB26509.json,16
P1_I17_S1,P1_PRJEB26509.json,17
P1_I18_S1,P1_PRJEB26509.json,18
P1_I19_S1,P1_PRJEB26509.json,19
P1_I1_S1,P1_PRJEB26509.json,1
P1_I20_S1,P1_PRJEB26509.json,20
P1_I21_S1,P1_PRJEB26509.json,21
P1_I22_S1,P1_PRJEB26509.json,22
P1_I23_S1,P1_PRJEB26509.json,23
P1_I24_S1,P1_PRJEB26509.json,24
P1_I25_S1,P1_PRJEB26509.json,25
P1_I26_S1,P1_PRJEB26509.json,26
P1_I27_S1,P1_PRJEB26509.json,27
P1_I28_S1,P1_PRJEB26509.json,28
P1_I29_S1,P1_PRJEB26509.json,29
P1_I2_S1,P1_PRJEB26509.json,2
P1_I30_S1,P1_PRJEB26509.json,30
P1_I31_S1,P1_PRJEB26509.json,31
P1_I32_S1,P1_PRJEB26509.json,32
P1_I33_S1,P1_PRJEB26509.json,33
P1_I34_S1,P1_PRJEB26509.json,34
P1_I35_S1,P1_PRJEB26509.json,35
P1_I37_S1,P1_PRJEB26509.json,36
P1_I38_S1,P1_PRJEB26509.json,37
P1_I39_S1,P1_PRJEB26509.json,38
P1_I3_S1,P1_PRJEB26509.json,3
P1_I40_S1,P1_PRJEB26509.json,40
P1_I41_S1,P1_PRJEB26509.json,41
P1_I42_S1,P1_PRJEB26509.json,42
P1_I43_S1,P1_PRJEB26509.json,43
P1_I44_S1,P1_PRJEB26509.json,44
P1_I45_S1,P1_PRJEB26509.json,45
P1_I46_S1,P1_PRJEB26509.json,46
P1_I47_S1,P1_PRJEB26509.json,47
P1_I48_S1,P1_PRJEB26509.json,48
P1_I49_S1,P1_PRJEB26509.json,49
P1_I4_S1,P1_PRJEB26509.json,4
P1_I50_S1,P1_PRJEB26509.json,50
P1_I51_S1,P1_PRJEB26509.json,51
P1_I52_S1,P1_PRJEB26509.json,52
P1_I53_S1,P1_PRJEB26509.json,53
P1_I54_S1,P1_PRJEB26509.json,54
P1_I55_S1,P1_PRJEB26509.json,55
P1_I56_S1,P1_PRJEB26509.json,56
P1_I57_S1,P1_PRJEB26509.json,57
P1_I58_S1,P1_PRJEB26509.json,58
P1_I59_S1,P1_PRJEB26509.json,59
P1_I5_S1,P1_PRJEB26509.json,5
P1_I60_S1,P1_PRJEB26509.json,60
P1_I61_S1,P1_PRJEB26509.json,61
P1_I62_S1,P1_PRJEB26509.json,62
P1_I63_S1,P1_PRJEB26509.json,63
P1_I64_S1,P1_PRJEB26509.json,64
P1_I65_S1,P1_PRJEB26509.json,65
P1_I66_S1,P1_PRJEB26509.json,66
P1_I67_S1,P1_PRJEB26509.json,67
P1_I68_S1,P1_PRJEB26509.json,68
P1_I69_S1,P1_PRJEB26509.json,69
P1_I6_S1,P1_PRJEB26509.json,6
P1_I70_S1,P1_PRJEB26509.json,70
P1_I71_S1,P1_PRJEB26509.json,71
P1_I72_S1,P1_PRJEB26509.json,72
P1_I73_S1,P1_PRJEB26509.json,73
P1_I74_S1,P1_PRJEB26509.json,74
P1_I75_S1,P1_PRJEB26509.json,75
P1_I76_S1,P1_PRJEB26509.json,76
P1_I77_S1,P1_PRJEB26509.json,77
P1_I78_S1,P1_PRJEB26509.json,78
P1_I79_S1,P1_PRJEB26509.json,79
P1_I7_S1,P1_PRJEB26509.json,7
P1_I80_S1,P1_PRJEB26509.json,80
P1_I81_S1,P1_PRJEB26509.json,81
P1_I82_S1,P1_PRJEB26509.json,82
P1_I83_S1,P1_PRJEB26509.json,83
P1_I84_S1,P1_PRJEB26509.json,84
P1_I85_S1,P1_PRJEB26509.json,85
P1_I86_S1,P1_PRJEB26509.json,86
P1_I87_S1,P1_PRJEB26509.json,87
P1_I88_S1,P1_PRJEB26509.json,88
P1_I89_S1,P1_PRJEB26509.json,89
P1_I8_S1,P1_PRJEB26509.json,8
P1_I90_S1,P1_PRJEB26509.json,90
P1_I91_S1,P1_PRJEB26509.json,91
P1_I92_S1,P1_PRJEB26509.json,92
P1_I93_S1,P1_PRJEB26509.json,93
P1_I94_S1,P1_PRJEB26509.json,94
P1_I95_S1,P1_PRJEB26509.json,95
P1_I96_S1,P1_PRJEB26509.json,96
P1_I97_S1,P1_PRJEB26509.json,97
P1_I98_S1,P1_PRJEB26509.json,98
P1_I99_S1,P1_PRJEB26509.json,99
P1_I9_S1,P1_PRJEB26509.json,9
