"GENE"	"PATTERN"	"ALLELES"
"IGHV1-18"	"bp01"	"01"
"IGHV1-18"	"bp02"	"02"
"IGHV1-18"	"bp03"	"03"
"IGHV1-18"	"bp04"	"04"
"IGHV1-2"	"bp01"	"01"
"IGHV1-2"	"bp02"	"02"
"IGHV1-2"	"bp03"	"03"
"IGHV1-2"	"bp04"	"04"
"IGHV1-2"	"bp05"	"05"
"IGHV1-2"	"bp06"	"06"
"IGHV1-2"	"bp07"	"07"
"IGHV1-24"	"bp01"	"01"
"IGHV1-3"	"bp01"	"01,05"
"IGHV1-3"	"bp02"	"02"
"IGHV1-3"	"bp03"	"03"
"IGHV1-3"	"bp04"	"04"
"IGHV1-38-4"	"bp01"	"01"
"IGHV1-45"	"bp01"	"01"
"IGHV1-45"	"bp02"	"02"
"IGHV1-45"	"bp03"	"03"
"IGHV1-46"	"bp01"	"01"
"IGHV1-46"	"bp02"	"02"
"IGHV1-46"	"bp03"	"03"
"IGHV1-46"	"bp04"	"04"
"IGHV1-58"	"bp01"	"01,03"
"IGHV1-58"	"bp02"	"02"
"IGHV1-68"	"bp01"	"01"
"IGHV1-68"	"bp02"	"02"
"IGHV1-69"	"bp01"	"01,12,13"
"IGHV1-69"	"bp02"	"02"
"IGHV1-69"	"bp03"	"03"
"IGHV1-69"	"bp04"	"04,09"
"IGHV1-69"	"bp05"	"05"
"IGHV1-69"	"bp06"	"06,14"
"IGHV1-69"	"bp07"	"07"
"IGHV1-69"	"bp08"	"08"
"IGHV1-69"	"bp09"	"10"
"IGHV1-69"	"bp10"	"11"
"IGHV1-69"	"bp11"	"15,18"
"IGHV1-69"	"bp12"	"16"
"IGHV1-69"	"bp13"	"17"
"IGHV1-69"	"bp14"	"19"
"IGHV1-69-2"	"bp01"	"01"
"IGHV1-69-2"	"bp02"	"02"
"IGHV1-8"	"bp01"	"01"
"IGHV1-8"	"bp02"	"02"
"IGHV1-8"	"bp03"	"03"
"IGHV1-NL1"	"bp01"	"01"
"IGHV2-10"	"bp01"	"01"
"IGHV2-26"	"bp01"	"01"
"IGHV2-26"	"bp02"	"02"
"IGHV2-26"	"bp03"	"03"
"IGHV2-5"	"bp01"	"01"
"IGHV2-5"	"bp02"	"02"
"IGHV2-5"	"bp03"	"03"
"IGHV2-5"	"bp04"	"04"
"IGHV2-5"	"bp05"	"05,06,09"
"IGHV2-5"	"bp06"	"05,09"
"IGHV2-5"	"bp07"	"08"
"IGHV2-70"	"bp01"	"01"
"IGHV2-70"	"bp02"	"02"
"IGHV2-70"	"bp03"	"03"
"IGHV2-70"	"bp04"	"04"
"IGHV2-70"	"bp05"	"05"
"IGHV2-70"	"bp06"	"06"
"IGHV2-70"	"bp07"	"07"
"IGHV2-70"	"bp08"	"08"
"IGHV2-70"	"bp09"	"09"
"IGHV2-70"	"bp10"	"10"
"IGHV2-70"	"bp11"	"11,15"
"IGHV2-70"	"bp12"	"12"
"IGHV2-70"	"bp13"	"13"
"IGHV2-70"	"bp14"	"16,17"
"IGHV2-70"	"bp15"	"18"
"IGHV2-70"	"bp16"	"19"
"IGHV2-70D"	"bp01"	"04"
"IGHV2-70D"	"bp02"	"14"
"IGHV3-11"	"bp01"	"01"
"IGHV3-11"	"bp02"	"03,05"
"IGHV3-11"	"bp03"	"04"
"IGHV3-11"	"bp04"	"06"
"IGHV3-13"	"bp01"	"01"
"IGHV3-13"	"bp02"	"02"
"IGHV3-13"	"bp03"	"03"
"IGHV3-13"	"bp04"	"04"
"IGHV3-13"	"bp05"	"05"
"IGHV3-15"	"bp01"	"01,02"
"IGHV3-15"	"bp02"	"03"
"IGHV3-15"	"bp03"	"04"
"IGHV3-15"	"bp04"	"05"
"IGHV3-15"	"bp05"	"06"
"IGHV3-15"	"bp06"	"07"
"IGHV3-15"	"bp07"	"08"
"IGHV3-19"	"bp01"	"01"
"IGHV3-21"	"bp01"	"01,02"
"IGHV3-21"	"bp02"	"03"
"IGHV3-21"	"bp03"	"04"
"IGHV3-21"	"bp04"	"05"
"IGHV3-21"	"bp05"	"06"
"IGHV3-23"	"bp01"	"01,04"
"IGHV3-23"	"bp02"	"02"
"IGHV3-23"	"bp03"	"03"
"IGHV3-23"	"bp04"	"05"
"IGHV3-25"	"bp01"	"01,02"
"IGHV3-25"	"bp02"	"03"
"IGHV3-25"	"bp03"	"04"
"IGHV3-25"	"bp04"	"05"
"IGHV3-29"	"bp01"	"01"
"IGHV3-30"	"bp01"	"01"
"IGHV3-30"	"bp02"	"02"
"IGHV3-30"	"bp03"	"03"
"IGHV3-30"	"bp04"	"04"
"IGHV3-30"	"bp05"	"05"
"IGHV3-30"	"bp06"	"06"
"IGHV3-30"	"bp07"	"07"
"IGHV3-30"	"bp08"	"08"
"IGHV3-30"	"bp09"	"09"
"IGHV3-30"	"bp10"	"10"
"IGHV3-30"	"bp11"	"11"
"IGHV3-30"	"bp12"	"12"
"IGHV3-30"	"bp13"	"13"
"IGHV3-30"	"bp14"	"14"
"IGHV3-30"	"bp15"	"15"
"IGHV3-30"	"bp16"	"16"
"IGHV3-30"	"bp17"	"17"
"IGHV3-30"	"bp18"	"18"
"IGHV3-30"	"bp19"	"19"
"IGHV3-30-2"	"bp01"	"01"
"IGHV3-30-22"	"bp01"	"01"
"IGHV3-30-3"	"bp01"	"01"
"IGHV3-30-3"	"bp02"	"02"
"IGHV3-30-3"	"bp03"	"03"
"IGHV3-30-33"	"bp01"	"01"
"IGHV3-30-42"	"bp01"	"01"
"IGHV3-30-5"	"bp01"	"01"
"IGHV3-30-5"	"bp02"	"02"
"IGHV3-30-52"	"bp01"	"01"
"IGHV3-32"	"bp01"	"01"
"IGHV3-33"	"bp01"	"01"
"IGHV3-33"	"bp02"	"02"
"IGHV3-33"	"bp03"	"03"
"IGHV3-33"	"bp04"	"04"
"IGHV3-33"	"bp05"	"05"
"IGHV3-33"	"bp06"	"06"
"IGHV3-33"	"bp07"	"07"
"IGHV3-33-2"	"bp01"	"01"
"IGHV3-35"	"bp01"	"01"
"IGHV3-38"	"bp01"	"01"
"IGHV3-38"	"bp02"	"02"
"IGHV3-38"	"bp03"	"03"
